date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2024-11-26,12597837.0,-2243.915347188711,12595593.084652811,10000000.0,1.2595593084652812,0.2595593084652812,-0.039342396317895774,-0.15580088723419394,-1,3840.1847,0.11992508411501457,-0.002054577245043876,-0.09772135789599867
2024-11-27,12838560.0,-2243.915347188711,12836316.084652811,10000000.0,1.2836316084652812,0.28363160846528124,0.01911168441074133,-0.13966682021118604,1,3907.0447,0.13942367519161825,0.01741062090060419,-0.08201212651161405
2024-11-28,12448818.0,-2243.915347188711,12446574.084652811,10000000.0,1.244657408465281,0.24465740846528106,-0.03036244958676111,-0.1657886430103418,-1,3872.5505,0.12936402367629385,-0.008828719057143108,-0.09011678354450736
2024-11-29,0.0,12398241.265729435,12398241.265729435,10000000.0,1.2398241265729435,0.2398241265729435,-0.00388322269201548,-0.16902807148174104,-1,3916.5832,0.1422054178028085,0.011370465020404508,-0.07977098825914697
2024-12-02,12852684.0,-2362.4830518048257,12850321.516948195,10000000.0,1.2850321516948195,0.28503215169481955,0.03646325648367377,-0.1387281289214467,1,3947.632,0.1512602765317832,0.007927522132046061,-0.07247585240202037
2024-12-03,12864048.0,-2362.4830518048257,12861685.516948195,10000000.0,1.2861685516948196,0.2861685516948196,0.0008843358498861275,-0.13796647532935347,1,3951.8912,0.15250240035938534,0.0010789252898952828,-0.0714751231421884
2024-12-04,12523128.0,-2362.4830518048257,12520765.516948195,10000000.0,1.2520765516948196,0.2520765516948196,-0.026506634729232065,-0.16081608309215079,-1,3930.5568,0.1462805825091804,-0.00539852919027739,-0.07648779179380394
2024-12-05,12784500.0,-2362.4830518048257,12782137.516948195,10000000.0,1.2782137516948195,0.27821375169481954,0.020875081451386078,-0.14329805047400612,1,3921.5881,0.143665012455505,-0.0022817886768612405,-0.07859505149343193
2024-12-06,0.0,12631878.159691224,12631878.159691224,10000000.0,1.2631878159691223,0.26318781596912233,-0.011755417046463398,-0.15336893917520245,-1,3973.1405,0.1586994002302209,0.0131457967245463,-0.06648244933937353
2024-12-09,12424606.0,-1948.2266217749566,12422657.773378225,10000000.0,1.2422657773378225,0.2422657773378225,-0.016562888247341395,-0.16739159482237165,-1,3966.5708,0.15678345805558802,-0.0016535282354097625,-0.06802604696764136
2024-12-10,12688715.0,-1948.2266217749566,12686766.773378225,10000000.0,1.2686766773378224,0.2686766773378224,0.02126026530055308,-0.14969011923682496,1,3995.6369,0.16526009577756917,0.007327765333219327,-0.06119676054314749
2024-12-11,12688715.0,-1948.2266217749566,12686766.773378225,10000000.0,1.2686766773378224,0.2686766773378224,0.0,-0.14969011923682496,0,3988.8308,0.16327521153098723,-0.00170338300760009,-0.06279590202871821
2024-12-12,12619817.0,-1948.2266217749566,12617868.773378225,10000000.0,1.2617868773378225,0.26178687733782247,-0.0054306980833425805,-0.15430789547653279,-1,4028.5048,0.17484546433345782,0.00994627297803663,-0.05347421423416132
2024-12-13,0.0,12190558.77474146,12190558.77474146,10000000.0,1.219055877474146,0.219055877474146,-0.0338654654214128,-0.1829476521994341,-1,3933.1808,0.1470458278424891,-0.023662377167826598,-0.07587126437602609
